@id|amenity|name|fee|opening_hours|changing_table|@lat|@lon
12174325842|toilets|||||41.0964884|9.4351221
12174340553|toilets|||||41.1602185|9.4039229
12174340560|toilets|||||41.1611151|9.4063785
12174409871|toilets|||||41.1989294|9.3207901
12174513855|toilets|||||45.8091705|10.8515839
12174613310|toilets|||||45.8849363|10.7315558
12174613311|toilets|||||45.8846449|10.7326332
12174613312|toilets|||||45.8840010|10.7319949
12174613747|toilets|||||45.7892093|10.8255479
12174613748|toilets|||||45.7900039|10.8264166
12174640516|toilets|||||42.0850916|14.7388595
12174656920|toilets|||||45.8826750|10.7321929
12174666004|toilets|||||42.1199278|12.1752825
12175015316|toilets|||||43.0570527|10.6049314
12175028964|toilets|||||43.0159733|10.5251680
12175033444|toilets|||||43.0102505|10.5522622
12175724664|toilets|||||42.8398740|10.7771879
12175724675|toilets|||||42.8426149|10.7764914
12175724686|toilets|||||42.8378834|10.7797977
12175724692|toilets|||||42.8394534|10.7796009
12175724716|toilets|||||42.8380695|10.7764862
12175724721|toilets|||||42.8385730|10.7768915
12175724730|toilets|||||42.8391463|10.7771755
12175724745|toilets|||||42.8413407|10.7775689
12175724781|toilets|||||42.8422211|10.7794588
12176303637|toilets||||yes|37.7484959|12.4969805
12176321363|toilets|||||37.7013327|12.4783026
12176321364|toilets|||||37.7010250|12.4788042
12176434328|toilets|||||37.6659995|12.5781443
12177015548|toilets|||||44.1232995|12.4913170
12177072678|toilets|||||44.1273585|12.4884327
12177072679|toilets|||||44.1268005|12.4879187
12177118861|toilets|||||43.8661090|12.9833701
12177137394|toilets|||||43.8077190|13.0832022
12177199641|toilets||no|||42.2171519|14.2700473
12178003671|toilets||no||no|44.8163645|9.9007557
12178200759|toilets||no|||46.6999528|11.5213459
12178210601|toilets||yes||yes|45.4852951|9.1866699
12178268909|toilets||no|||40.9026800|9.5154526
12178283341|toilets||no||yes|40.9029064|9.5152115
12178296568|toilets||no||yes|40.9037860|9.5177905
12178322201|toilets||no|||40.9039447|9.5179548
12178347760|toilets||no||yes|40.9019204|9.5144792
12178598663|toilets|||||44.9514778|8.0265035
12178896452|toilets|||||46.1254875|13.1800448
12180222067|toilets|||||38.1964936|13.2447717
12180222069|toilets|||||38.1969734|13.2458445
12180228201|toilets|||||40.9984845|17.2134469
12180566399|toilets|||||42.9301216|11.7006292
12180605203|toilets|||||45.7981397|8.4202318
12180605204|toilets|||||45.7980396|8.4201346
12180615111|toilets|||||45.8019076|8.4210796
12180615115|toilets|||||45.8019146|8.4203912
12180650758|toilets|||||45.5659158|9.4655734
12181118610|toilets|||||37.5645292|14.8980624
12181118611|toilets|||||37.5638903|14.8989388
12182142506|toilets|||||45.4520934|10.6653390
12182142507|toilets|||||45.4523851|10.6659990
12182155501|toilets|||24/7||43.5420943|11.1714195
12182383685|toilets|||||44.2015042|10.0591863
12183467361|toilets|||||42.2954174|11.6335989
12183574658|toilets|||||42.2866342|11.6466695
12183723702|toilets||||yes|41.7427327|12.3147812
12183723703|toilets||||yes|41.7430546|12.3163711
12183723704|toilets||||yes|41.7417626|12.3170366
12183723705|toilets||||yes|41.7434546|12.3176898
12183723706|toilets||||yes|41.7412108|12.3160137
12183723707|toilets||||yes|41.7407694|12.3146025
12183723713|toilets||||yes|41.7445370|12.3153902
12183725223|toilets|||||41.7059217|12.3393518
12183725224|toilets|||||41.7059547|12.3392653
12183725227|toilets|||||41.7046541|12.3413608
12183725228|toilets|||||41.7046871|12.3412743
12183805536|toilets|||||45.8595687|11.5531275
12183805537|toilets|||||45.8589560|11.5532724
12185788602|toilets|||||43.4680217|11.4317386
12186204578|toilets||no|||40.6984148|16.4727701
12186237342|toilets||no|||40.6065669|16.5695618
12187525484|toilets|||||43.4447523|11.6172732
12187668074|toilets|||||45.1872534|7.0140066
12187719282|toilets||no|||45.1886302|7.0156912
12187760039|toilets|||||45.1929679|7.0131863
