@id|amenity|name|fee|opening_hours|changing_table|@lat|@lon
4378820193|toilets|||||45.5221571|9.2158596
4550684241|toilets|||||45.4999248|9.1530839
4552349377|toilets|||||45.5186804|9.0818052
4552349378|toilets|||||45.5187650|9.0818588
4592685369|toilets|||||45.4664310|9.1560353
4596667106|toilets|||||45.5480974|9.2087202
4598750211|toilets||no|||45.4770824|9.1240479
4598826217|toilets||no|||45.4432295|9.1980740
4604627290|toilets||no|||45.4719664|9.1893174
4605294844|toilets|||||45.4840159|9.1964633
4612209175|toilets||no|||45.4800321|9.2270762
4612219177|toilets||no|||45.4789022|9.2322602
4612219182|toilets||no|||45.4790290|9.2338085
4612222080|toilets|||||45.4776518|9.2351931
4612222081|toilets|||||45.4777728|9.2351198
4612278295|toilets||no|||45.4790290|9.2338177
4612299017|toilets||no|||45.4773592|9.2296966
4612299018|toilets||no|||45.4773592|9.2297274
4612299019|toilets||no|||45.4773592|9.2297113
4612299022|toilets||no|||45.4774719|9.2293480
4612299023|toilets||no|||45.4774638|9.2293480
4612299024|toilets||no|||45.4771347|9.2297981
4612317487|toilets||no|||45.4800319|9.2271379
4612317488|toilets||no|||45.4800321|9.2271071
4612318490|toilets|||||45.4800199|9.2290472
4612318494|toilets|||||45.4800199|9.2288782
4612338077|toilets||no|||45.4779752|9.2287560
4612338078|toilets||no|||45.4781713|9.2287786
4612503649|toilets|||||45.4778818|9.2295705
4612503650|toilets|||||45.4778630|9.2295705
4612503662|toilets||no|||45.4788063|9.2292685
4612654626|toilets|||||45.4795773|9.2273351
4629375339|toilets||no|||45.5472586|9.1871052
4694142289|toilets|||||45.6141221|8.9564951
4696998024|toilets|||||45.4909586|8.9473357
4788530423|toilets||yes|10:00-18:00||45.4638625|9.1909370
4789774075|toilets||no|||45.5240290|9.0434963
4799846983|toilets||yes|||45.4897531|9.1269383
4823356725|toilets|||||45.3978305|8.9141511
4894424364|toilets|||||45.5116342|9.1606985
4909227905|toilets||no|||45.4754886|9.2010001
5033073551|toilets|||||45.5750826|9.1797300
5058544083|toilets|||||45.3832680|9.1619311
5088849762|toilets||no||yes|45.5067558|9.2591131
5091986580|toilets|||||45.4252081|8.9108303
5239806383|toilets||yes|||45.4721691|9.2023108
5239949512|toilets||no|09:00-17:15||45.4701978|9.1787439
5246846456|toilets|||||45.5254572|8.9955148
5257412400|toilets|||||45.5274785|9.4070967
5308634736|toilets||yes|||45.4950393|9.1141783
5334820908|toilets||no|||45.4791160|8.9486969
5334820909|toilets|||||45.4800431|8.9465761
5408572056|toilets||yes|||45.4993141|9.1781257
5438276705|toilets|||||45.5117467|9.3029010
5438281333|toilets|||||45.5113447|9.3026571
5450827382|toilets|||||45.4937585|9.2222258
5578163459|toilets|||||45.5095274|9.1148597
5578163467|toilets|||||45.5102605|9.1092485
5578163468|toilets|||||45.5088488|9.1079476
5578163469|toilets|||||45.5079184|9.1079584
5578163470|toilets|||||45.5055536|9.1112012
5578163471|toilets|||||45.5037293|9.1206278
5583863835|toilets||no|||45.4630805|9.1020173
5641509636|toilets||no|||45.4859516|9.3280353
5686052073|toilets||no|||45.4786647|9.2329144
5696052275|toilets|||||45.4974275|8.9341066
5743926035|toilets||yes|||45.4332895|9.2386787
