@id|amenity|name|covered|indoor|access|fee|bicycle_parking|surveillance|capacity|@lat|@lon
672331054|bicycle_parking||||||||6|41.9099877|12.4498053
679195431|bicycle_parking||no||||wall_loops||50|43.2373067|10.5273178
679195477|bicycle_parking||no||||wall_loops||110|43.2458020|10.5247165
684200935|bicycle_parking||no||||wall_loops|||43.2988976|10.4923901
685957648|bicycle_parking||||||||12|41.9036319|12.4628744
686533179|bicycle_parking||no||||stands||12|45.1864770|9.1571305
688587621|bicycle_parking||no||||wall_loops|||45.6889477|9.6767725
690208329|bicycle_parking||||||||6|41.9206966|12.4654505
692285889|bicycle_parking|||||||||43.5639935|11.8574639
702929826|bicycle_parking|||||||||41.1025970|16.8737926
706004735|bicycle_parking|GAM|no||||wall_loops||21|45.0650258|7.6695103
745193019|bicycle_parking||no||||wall_loops||6|41.9087638|12.4680449
745193022|bicycle_parking||no||||wall_loops||6|41.9085714|12.4681172
747882898|bicycle_parking||no||||wall_loops||6|41.9084359|12.4676124
747882899|bicycle_parking||no||||wall_loops||6|41.9086648|12.4675315
759971572|bicycle_parking|||||||||45.4448206|12.4648310
759971881|bicycle_parking|||||||||45.4459983|12.4690054
759971960|bicycle_parking|||||||||45.4453355|12.4666239
759971987|bicycle_parking|||||||||45.4454957|12.4672026
759972053|bicycle_parking|||||||||45.4442072|12.4625501
759972106|bicycle_parking|||||||||45.4455708|12.4618878
759972318|bicycle_parking|||||||||45.4463193|12.4701822
759972395|bicycle_parking|||||||||45.4457566|12.4681517
762401825|bicycle_parking|||||||||43.5719530|11.8712827
767189116|bicycle_parking||||||||6|41.9097342|12.4524848
767189117|bicycle_parking||||||||6|41.9097705|12.4527483
767202662|bicycle_parking||||||||12|41.9153963|12.4528285
767854490|bicycle_parking|||||||||41.9138895|12.4579514
776274780|bicycle_parking|||||||||41.9094311|12.4499262
776274797|bicycle_parking|||||||||41.9094672|12.4500282
778684853|bicycle_parking||||||shed||12|45.4684776|8.8811165
780354889|bicycle_parking||no|||no|wall_loops|||45.8895049|12.3005999
799289028|bicycle_parking||no||yes|no|wall_loops|||45.8781039|12.2884444
801468286|bicycle_parking||no|no|yes|no|wall_loops||5|41.9192809|12.5661977
807102255|bicycle_parking||no||||||12|45.6005416|9.8805858
807253815|bicycle_parking||no||yes|no|wall_loops|||45.8864092|12.2981371
813193663|bicycle_parking|Roma San Pietro|||||||16|41.8964513|12.4543532
813834983|bicycle_parking||||||||18|41.9224687|12.4920070
813836610|bicycle_parking||||||||18|41.9254308|12.4965710
813855257|bicycle_parking||||||||6|41.9227149|12.4586083
813859230|bicycle_parking|Cipro|||||||6|41.9069366|12.4481445
843327628|bicycle_parking|||||||||45.5047117|11.2451615
849582116|bicycle_parking|||||||||41.0962086|16.8614155
849595448|bicycle_parking||no|||no||||41.1009793|16.8748471
855900412|bicycle_parking|Bici||||||||45.5732457|9.3076799
861127791|bicycle_parking||yes|||no|||15|46.4530038|11.2686756
861127799|bicycle_parking||no|||no|wall_loops||7|46.4528433|11.2683306
864681342|bicycle_parking|||||||||45.4374097|11.6004515
867368718|bicycle_parking|||||||||45.6099586|9.5819099
867377322|bicycle_parking||||||wall_loops||12|46.2142053|11.1187031
867439167|bicycle_parking||yes|||||||46.0736057|11.1202899
870896234|bicycle_parking|||||||||45.6453681|9.6835053
877621006|bicycle_parking||no||||wall_loops||20|46.0633092|11.1237841
880590677|bicycle_parking||no||||stands||20|46.0725406|11.1201955
880590846|bicycle_parking||no||||wall_loops||12|46.0707862|11.1212304
880590952|bicycle_parking||no||||wall_loops||8|46.0678245|11.1227012
884334886|bicycle_parking|||||||||45.3919657|11.5759475
885670019|bicycle_parking||no||||||8|46.0683792|11.1239126
885670050|bicycle_parking||no||||wall_loops||42|46.0721010|11.1198612
885670069|bicycle_parking||no||||rack||10|46.0688747|11.1259804
885670132|bicycle_parking||yes||||wall_loops||30|46.0674692|11.1237587
886066141|bicycle_parking||||||||5|46.0900661|11.1130807
888452720|bicycle_parking||no||||wall_loops||8|46.0708413|11.1216625
889484175|bicycle_parking|||||||||45.6598317|9.6756030
889555365|bicycle_parking||no||||wall_loops||8|46.0660002|11.1241149
889555501|bicycle_parking|||||||||46.0661549|11.1240310
890486688|bicycle_parking||no||||wall_loops||8|46.0657166|11.1246919
890486735|bicycle_parking||no||||||12|46.0659986|11.1246730
890517069|bicycle_parking||no|||||||46.0712655|11.1215881
892313587|bicycle_parking||no||||wall_loops||6|41.9119758|12.4576342
892399737|bicycle_parking||||||||11|46.2133106|11.0936191
892399760|bicycle_parking|||||||||46.2135979|11.0932962
892578597|bicycle_parking||yes||||wall_loops||12|46.0714327|11.1226627
892578601|bicycle_parking||no||yes|no|safe_loops||20|46.0732932|11.1216617
892578711|bicycle_parking||yes||||building|||46.0733371|11.1221723
892579097|bicycle_parking||no||||wall_loops||13|46.0631787|11.1233437
892939349|bicycle_parking||||||||5|45.4305462|10.1979610
894044477|bicycle_parking||no||||wall_loops||19|46.0737965|11.1228601
894044539|bicycle_parking||no||||wall_loops||4|46.0736671|11.1227668
894044569|bicycle_parking||||private|||||46.0746616|11.1226833
894044582|bicycle_parking||||private|||||46.0748941|11.1227031
894044642|bicycle_parking||no||||wall_loops||4|46.0742703|11.1228776
894087876|bicycle_parking||||||wall_loops|||46.2065628|11.1273172
895796187|bicycle_parking|||||||||45.6021995|9.8947597
895796245|bicycle_parking|||||||||45.6021400|9.8948625
914020681|bicycle_parking|||||||||45.6578840|9.6702303
923131644|bicycle_parking||no||||wall_loops||4|46.0716057|11.1192786
927358861|bicycle_parking|||||||||46.0681994|11.1210015
