@id|leisure|name|opening_hours|indoor|fee|supervised|@lat|@lon
3695455385|playground||||||45.8845739|9.6481488
3696457926|playground||||||46.4864698|11.3287775
3698555062|playground||||||41.9144512|16.1219036
3699063972|playground||||||45.0422368|7.3492062
3702181897|playground||||||46.6449218|11.1379148
3702329199|playground||||||46.6490781|11.1300140
3702595801|playground||||||46.6528266|11.1402057
3708022247|playground||||||45.5819102|9.6194424
3709185726|playground||||||46.6546186|11.1470274
3709894645|playground||||||44.0257985|12.6206079
3709930722|playground||||||45.4560451|9.1102494
3709931732|playground||||||45.4563592|9.1105176
3710035943|playground||||||46.6368417|11.1273674
3710473900|playground||||||41.7223558|13.6165449
3710745465|playground||||||45.8772684|8.5988133
3713674170|playground||||||38.2263056|15.2379677
3713785236|playground|Parco Teodorico|||||44.4267134|12.2089926
3713806132|playground|Parco John Lennon|||||44.4360491|12.2065395
3713810623|playground|Parco delle Mani fiorite|||||44.4169525|12.2225564
3713932536|playground||||||43.7689874|10.3455485
3714420387|playground||||||45.5249100|10.2034217
3715269776|playground||||||44.8533128|11.6260329
3717039410|playground||||||45.8222666|8.8350329
3719671953|playground||||||45.5032946|9.2265474
3719901023|playground||||||45.6857289|9.3954738
3721083784|playground||||||45.1061480|10.0381568
3721581069|playground|Area Gioco Bimbi|||||44.9572521|6.8769057
3721581070|playground||||||44.9566871|6.8771072
3722658355|playground||||||44.3085525|8.4774406
3723850674|playground||||||45.4688621|9.1186635
3724892779|playground||||||45.3977463|8.5374036
3725413326|playground|Canonica|||||44.5217540|10.1999064
3725783477|playground||||||44.5204192|10.1991005
3725833778|playground||||||44.7898605|10.3362577
3727244955|playground||||||43.1843058|12.0248755
3727776924|playground||||||43.8462312|10.4976907
3728035493|playground||||||40.6536189|14.9804492
3728448032|playground||||||44.8406505|9.3087082
3729671321|playground||||||45.4738934|9.1245428
3730925206|playground||||||45.5223357|9.2751618
3731679777|playground||||||45.0186878|10.1254535
3731700644|playground||||||46.8868105|11.7077005
3732218901|playground||||||45.5890623|10.3066897
3734182660|playground||||||44.4761590|10.1782676
3734654823|playground||||||45.4397470|8.4637295
3738766694|playground||||||44.9779151|10.0440492
3739025979|playground||||||43.6490665|10.6468919
3739751558|playground||||||46.1036038|10.3380005
3741060555|playground||||||45.6260839|9.2389181
3741348311|playground||||||43.7409747|10.9753214
3741348323|playground||||||43.7410790|10.9753740
3741348886|playground||||||43.7439624|10.9814607
3741493444|playground||||||44.2159861|9.5163833
3741897083|playground||||||46.0887930|10.3379606
3741897084|playground||||||46.0888028|10.3381958
3742454163|playground||||||45.5059445|8.1192586
3743040443|playground||||||45.4107069|12.0980379
3743041359|playground||||||45.4310105|12.0890314
3744283417|playground||||||43.3352681|10.7419696
3744289025|playground||||||43.3349132|10.7467669
3745511765|playground||||||45.9503409|12.6668198
3747938985|playground||||||45.5980769|8.8330802
3747961551|playground||||||45.0142759|10.0444069
3751485105|playground||||||45.1630520|11.9045667
3751992880|playground||||||44.9577638|7.1920994
3751992881|playground||||||44.9574305|7.1919942
3752566695|playground||||||46.0784385|13.2365894
3755945599|playground||||||45.7842028|8.8109267
3756893730|playground||||||44.4142043|11.9112289
3757870428|playground|Parco Castellaro parco giochi|||||42.5875551|14.0287583
3758734321|playground||||||46.4196009|11.2324739
3758752257|playground||||||46.4088805|11.2400519
3758775163|playground||||||44.4257527|11.9087968
3760063447|playground||||||43.9287115|7.9515915
3760096799|playground||||||43.8683396|8.0010194
3760235066|playground||||||43.8848581|8.0348807
3760346988|playground||||||43.8771342|8.0185913
3761410072|playground||||||37.9401287|14.0052910
3761501214|playground||||||43.5138659|12.2067957
3761501215|playground||||||43.5136500|12.2069700
3761595239|playground||||||44.4260800|8.9247632
3763093267|playground||||||39.1101581|8.3738309
3763437623|playground|Area gioco-bimbi|||||44.7211009|10.6123067
3763557072|playground|L'Arcobalocco - Feste per Bambini|||||38.1534005|13.3338076
3770738351|playground||||||38.9570871|16.3191200
3770752047|playground||||||38.9546287|16.3261094
3771002386|playground|Piazza Zambelli|||||45.3686710|11.9839453
3772868074|playground||||||39.8697392|9.3965674
3774664402|playground||||||43.8874774|8.0544742
3774715039|playground||||||44.2887082|11.8644335
3780329281|playground||||||45.3950777|9.1710390
3784873879|playground||||||44.2211747|11.7698807
3784873880|playground||||||44.2214039|11.7697182
3785849783|playground||||||44.2920219|11.8888824
3785931248|playground||||||45.2007528|7.7693723
3786369417|playground||||||45.1232614|10.0052348
3787561093|playground||||||45.6897156|7.7075160
3787561680|playground||||||45.6909380|7.7111947
