@id|amenity|name|@lat|@lon
255117810|drinking_water||41.8869339|12.5081547
255118657|drinking_water||41.9003546|12.5175115
255118660|drinking_water||41.9026441|12.5198080
255261222|drinking_water||44.4095856|8.9382732
255332025|drinking_water||41.8629606|12.4913582
255332124|drinking_water||41.8560244|12.4823578
255454063|drinking_water||41.8995059|12.4961229
255454064|drinking_water||41.8990218|12.4902685
255577312|drinking_water||41.8971515|12.5047529
256144611|drinking_water||41.7302377|12.6569657
256144613|drinking_water|Fontana di Corso Giacomo Matteotti|41.7306564|12.6567017
256170026|drinking_water||41.8598660|12.4999130
256170027|drinking_water||41.8602739|12.4999978
256170031|drinking_water||41.8673275|12.5028108
256170032|drinking_water||41.8731861|12.5017974
256251799|drinking_water|Sponda|40.6275242|14.4910207
256572272|drinking_water||41.8947199|12.4963709
256638790|drinking_water||41.8899687|12.5101942
256784579|drinking_water||44.1328993|12.2457581
256816899|drinking_water||41.8767672|12.5079843
257348839|drinking_water||41.8876199|12.4693467
257348840|drinking_water||41.8877058|12.4700857
257352140|drinking_water||41.8953461|12.4725282
257360905|drinking_water||41.8959390|12.5134571
257361194|drinking_water||41.8966879|12.5137499
257473781|drinking_water||41.9153084|12.4941929
257473786|drinking_water||41.9171738|12.4963876
257475245|drinking_water||41.9149230|12.4912657
257475247|drinking_water||41.9152493|12.4901414
257475250|drinking_water||41.9151971|12.4900747
257475935|drinking_water||41.9137331|12.4917582
257475937|drinking_water||41.9137935|12.4916658
257475939|drinking_water||41.9126990|12.4850070
257475940|drinking_water||41.9126361|12.4849342
257476153|drinking_water||41.9136539|12.4812459
257481472|drinking_water||46.0687113|11.1201097
257583330|drinking_water||44.3300890|9.1551452
257583331|drinking_water||44.3323353|9.1578197
257583332|drinking_water|A Vëgia|44.3304827|9.1582976
257669110|drinking_water||41.8548398|12.4762591
257669112|drinking_water||41.8518429|12.4765614
257845604|drinking_water||44.3103768|9.1938895
258056797|drinking_water||44.4001035|8.9820683
258546758|drinking_water||44.4039838|8.9543507
258548064|drinking_water||44.4077278|8.9611738
258755618|drinking_water||41.8957224|12.4772529
258755703|drinking_water||41.8969632|12.5141651
258889641|drinking_water||43.7234368|10.4145892
258889647|drinking_water||43.7245987|10.4101850
258897714|drinking_water||41.9097570|12.5295150
258898188|drinking_water||41.9087072|12.5266924
258898189|drinking_water||41.9116802|12.5171197
258898190|drinking_water||41.9109325|12.5162012
258898191|drinking_water||41.9067150|12.5096520
259190295|drinking_water||44.4289675|8.8933009
259206421|drinking_water||41.9267937|12.5216722
259475292|drinking_water||44.4314647|8.9394554
259476270|drinking_water||44.4311653|8.9432365
259701220|drinking_water||41.8571881|12.5237563
259865022|drinking_water||41.8549645|12.4783733
259865501|drinking_water||41.8777468|12.4796670
259867027|drinking_water||41.8911042|12.5280981
259867393|drinking_water||41.8919706|12.5322149
259867679|drinking_water||41.8714601|12.5106911
260173356|drinking_water||41.8600573|12.5442503
260201672|drinking_water||41.8620648|12.5459962
260201677|drinking_water||41.8748857|12.5339742
260204144|drinking_water||41.9173024|12.4658970
260385684|drinking_water||44.4084380|8.9245653
260540023|drinking_water||41.8572662|12.4773560
260540024|drinking_water||41.8607776|12.4778917
260540145|drinking_water||41.8528812|12.4794685
261060747|drinking_water||44.4398875|9.0066670
261060756|drinking_water||44.4594045|8.9854886
261081644|drinking_water||46.2793868|11.4356183
261081750|drinking_water||46.2825072|11.4387279
261081761|drinking_water||46.2814156|11.4351204
261081765|drinking_water||46.2804422|11.4337203
261086629|drinking_water||46.2733648|11.4162708
261086630|drinking_water||46.2721938|11.4155660
261086631|drinking_water||46.2712448|11.4154200
261597519|drinking_water||41.8543344|12.5534599
261623937|drinking_water||43.6087093|12.9769544
261625431|drinking_water||41.8553969|12.5449826
261632879|drinking_water||41.8591758|12.5503850
261634325|drinking_water||41.8843181|12.5296287
261655789|drinking_water||46.2828295|11.4795363
261655863|drinking_water||46.2841323|11.4882840
261655864|drinking_water||46.2837112|11.4874342
261655865|drinking_water||46.2833158|11.4860637
261655866|drinking_water||46.2832837|11.4849931
261664572|drinking_water||46.2821689|11.5536784
261664575|drinking_water||46.2844704|11.5431040
261664586|drinking_water||46.2835569|11.5247620
261664597|drinking_water||46.2817359|11.5165223
261664602|drinking_water||46.2820028|11.5142477
261664607|drinking_water||46.2859474|11.5612572
261716517|drinking_water|Fontana del ciclista|43.6097785|12.9786383
262210072|drinking_water||45.6061107|9.2940425
262255905|drinking_water||41.7700790|12.6575999
262255906|drinking_water||41.7699548|12.6580970
262255907|drinking_water||41.7703141|12.6561723
262330637|drinking_water||41.8929180|12.5130982
262461036|drinking_water||41.9004635|12.5085826
263384423|drinking_water||41.8573645|12.2013545
264145740|drinking_water||44.3481764|11.7156244
264246477|drinking_water||44.4078718|8.9520812
264249021|drinking_water||41.8514972|12.5211585
264249791|drinking_water||41.8488312|12.4807003
264250532|drinking_water||41.8457644|12.4832348
264250537|drinking_water||41.8478466|12.4838213
264253408|drinking_water||41.8342909|12.5404482
264261346|drinking_water||41.8417726|12.4883493
264261365|drinking_water||41.8411135|12.4891362
264261799|drinking_water||41.8395308|12.4899058
264268923|drinking_water||41.8357180|12.5077815
264268970|drinking_water||41.8412154|12.5116340
264269871|drinking_water||41.8675575|12.5464829
264489624|drinking_water||41.8365333|12.5846845
264489631|drinking_water||41.8376506|12.5818889
264566520|drinking_water||43.8812347|10.4254664
264576435|drinking_water||45.5094555|9.4316367
264672605|drinking_water||41.8941810|12.5108983
264672606|drinking_water||41.8943525|12.5370976
264672607|drinking_water||41.8938770|12.5366054
264897052|drinking_water||41.8883122|12.4809626
265390230|drinking_water||46.2744485|11.4160847
265391322|drinking_water||46.2737450|11.4191789
265392533|drinking_water||46.2806144|11.4343985
265392694|drinking_water||46.2799577|11.4344289
265654308|drinking_water||45.4975575|9.2253513
265654315|drinking_water||45.4951681|9.2226441
265654325|drinking_water||45.4926708|9.2233939
265654348|drinking_water||45.4940760|9.2254668
265654353|drinking_water||45.4946821|9.2223342
265740445|drinking_water||44.4198946|8.9211969
265752122|drinking_water||41.8597201|12.4819060
265752125|drinking_water||41.8614206|12.4857704
265758250|drinking_water||41.8804411|12.5102293
265767259|drinking_water||41.8863086|12.5097857
265837380|drinking_water||41.8865531|12.5038415
266310817|drinking_water||41.8926848|12.4931113
266310881|drinking_water||41.8923773|12.4934985
266317282|drinking_water||41.8932611|12.4901658
266773743|drinking_water||41.8824798|12.4840162
266773744|drinking_water||41.8850606|12.4803272
266773746|drinking_water||41.8755024|12.4768705
266784946|drinking_water|Fonte del Biscio|44.0317420|10.1736750
266788725|drinking_water||41.8720513|12.4787677
